instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 77,77,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
name_of_instance, 34,34,num_k_cores, Original Model, , , ,Reduced Model
